"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CCHB","1997","34.1847","-118.7172","502.9","CHEESEBORO CALIFORNIA, CA US","1088.5","","1088.5","U","0","U","0","U","0","U","251","U","82","U","3.9","U,0116,","41.1","U,0806,+","","","688.3","","688.3","U","19.44","U","25.59","U","13.29","U"
"USR0000CCHB","1998","34.1847","-118.7172","502.9","CHEESEBORO CALIFORNIA, CA US","870.0","","870.0","U","0","U","1","U","0","U","214","U","61","U","0.0","U,1221,","44.4","U,0829,","0.0","U,1221","1080.7","","1080.7","U","17.70","U","23.32","U","12.08","U"
"USR0000CCHB","1999","34.1847","-118.7172","502.9","CHEESEBORO CALIFORNIA, CA US","951.1","","951.1","U","0","U","0","U","0","U","241","U","68","U","1.7","U,0409,","40.0","U,0828,+","","","1028.5","","1028.5","U","18.43","U","24.46","U","12.40","U"
"USR0000CCHB","2000","34.1847","-118.7172","502.9","CHEESEBORO CALIFORNIA, CA US","911.1","","911.1","U","0","U","0","U","0","U","237","U","66","U","2.2","U,0306,","41.1","U,0916,","","","687.2","","687.2","U","18.65","U","24.37","U","12.94","U"
"USR0000CCHB","2001","34.1847","-118.7172","502.9","CHEESEBORO CALIFORNIA, CA US","949.1","","949.1","U","0","U","0","U","0","U","233","U","73","U","1.1","U,0214,","40.0","U,0930,","","","972.5","","972.5","U","18.05","U","24.02","U","12.08","U"
"USR0000CCHB","2002","34.1847","-118.7172","502.9","CHEESEBORO CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","848.6","","848.6","","","","","","",""
"USR0000CCHB","2003","34.1847","-118.7172","502.9","CHEESEBORO CALIFORNIA, CA US","1168.2","","1168.2","U","0","U","0","U","0","U","232","U","108","U","3.9","U,1227,+","42.2","U,0716,","","","","","","","19.20","U","25.41","U","12.98","U"
"USR0000CCHB","2004","34.1847","-118.7172","502.9","CHEESEBORO CALIFORNIA, CA US","948.5","","948.5","U","0","U","0","U","0","U","240","U","76","U","4.4","U,0103,","39.4","U,0908,+","","","782.9","","782.9","U","18.59","U","24.66","U","12.53","U"
"USR0000CCHB","2005","34.1847","-118.7172","502.9","CHEESEBORO CALIFORNIA, CA US","868.7","","868.7","U","0","U","0","U","0","U","230","U","61","U","4.4","U,0105,+","38.3","U,0829,+","","","951.2","","951.2","U","18.44","U","24.04","U","12.83","U"
"USR0000CCHB","2006","34.1847","-118.7172","502.9","CHEESEBORO CALIFORNIA, CA US","1139.8","","1139.8","U","0","U","0","U","0","U","247","U","84","U","1.1","U,0312,+","42.8","U,0722,","","","885.6","","885.6","U","19.04","U","25.27","U","12.81","U"
"USR0000CCHB","2007","34.1847","-118.7172","502.9","CHEESEBORO CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","744.6","","744.6","U","","","","","",""
"USR0000CCHB","2008","34.1847","-118.7172","502.9","CHEESEBORO CALIFORNIA, CA US","1216.2","","1216.2","U","0","U","0","U","0","U","255","U","103","U","2.2","U,1226,+","42.8","U,0620,","","","","","","","19.17","U","25.28","U","13.06","U"
"USR0000CCHB","2009","34.1847","-118.7172","502.9","CHEESEBORO CALIFORNIA, CA US","","","","","","","","","","","","","","","","","","","","","812.9","","812.9","U","","","","","",""
"USR0000CCHB","2010","34.1847","-118.7172","502.9","CHEESEBORO CALIFORNIA, CA US","773.6","","773.6","U","0","U","0","U","0","U","223","U","50","U","2.2","U,1231,+","42.8","U,0824,","","","","","","","17.68","U","23.51","U","11.85","U"
"USR0000CCHB","2011","34.1847","-118.7172","502.9","CHEESEBORO CALIFORNIA, CA US","887.4","","887.4","U","0","U","0","U","0","U","240","U","73","U","1.7","U,0227,+","42.2","U,0828,","","","1051.9","","1051.9","U","18.05","U","24.11","U","11.98","U"
"USR0000CCHB","2012","34.1847","-118.7172","502.9","CHEESEBORO CALIFORNIA, CA US","1167.5","","1167.5","U","0","U","0","U","0","U","257","U","91","U","1.7","U,0228,","41.7","U,0810,+","","","804.6","","804.6","U","19.32","U","25.80","U","12.84","U"
"USR0000CCHB","2013","34.1847","-118.7172","502.9","CHEESEBORO CALIFORNIA, CA US","1051.6","","1051.6","U","0","U","0","U","0","U","271","U","78","U","1.1","U,0114,","41.1","U,0630,","","","765.5","","765.5","U","19.29","U","25.71","U","12.86","U"
"USR0000CCHB","2014","34.1847","-118.7172","502.9","CHEESEBORO CALIFORNIA, CA US","1244.8","","1244.8","U","0","U","0","U","0","U","287","U","87","U","2.8","U,1231,","41.1","U,0916,","","","518.2","","518.2","U","20.34","U","26.50","U","14.18","U"
"USR0000CCHB","2015","34.1847","-118.7172","502.9","CHEESEBORO CALIFORNIA, CA US","1219.8","","1219.8","U","0","U","0","U","0","U","270","U","74","U","3.3","U,0101,","40.0","U,0816,+","","","518.1","","518.1","U","20.06","U","25.75","U","14.37","U"
"USR0000CCHB","2016","34.1847","-118.7172","502.9","CHEESEBORO CALIFORNIA, CA US","1050.1","","1050.1","U","0","U","0","U","0","U","250","U","64","U","3.9","U,1225,+","41.7","U,0620,","","","710.4","","710.4","U","19.32","U","25.06","U","13.57","U"
"USR0000CCHB","2017","34.1847","-118.7172","502.9","CHEESEBORO CALIFORNIA, CA US","1257.7","","1257.7","U","0","U","0","U","0","U","265","U","95","U","3.3","U,0124,","44.4","U,0830,","","","859.7","","859.7","U","19.85","U","25.77","U","13.93","U"
